X,Y,ID,FacilityID,LotName,Community,Address,City,State,Zipcode,Lat,Lon,ConvenientTo,Type,Hours,HourlyCost,DailyCost,MonthlyCost,SpecialFeatures,Spaces,Status
-118.2594441,34.07683889,301,662,Lemoyne & Sunset Parking Lot,Echo Park,1152 Lemoyne St,Echo Park,CA,90026-3207,34.076834,-118.259432,"Echo Park, restaurants & shops",Metered,7am-9pm Mon-Sat,$0.50 ,$2.50 ,$30.00 ,14 hrs max time limit,82,Operational
-118.2585861,34.07648389,302,663,Logan & Sunset Parking Lot,Echo Park,1146 Logan St,Echo Park,CA,90026-3211,34.076479,-118.258574,"Echo Park, restaurants & shops",Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,14 hrs max time limit; no parking Fri 2pm-9pm (Farmers Market),38,Operational
-118.1768601,34.0858729,303,664,Navarro & Eastern Parking Lot,El Sereno,4883 Navarro St,El Sereno,CA,90032-2228,34.085868,-118.176848,Restaurants & shops,Free,24 hours Daily,Free,Free,N/A,2 hrs max time limit,30,Operational
-118.2787391,33.95890488,304,665,87th & Grand Parking Lot,Vermont Vista,323 W 87th St,Los Angeles,CA,90003-3313,33.9589,-118.278727,Swap meet & shops,Free,8am-6pm Mon-Sat,Free,Free,N/A,,64,Operational
-118.2054461,34.1220429,305,668,Ave 51 & Meridian Parking Lot,Eagle Rock,5058 Meridian St,Los Angeles,CA,90042-1723,34.122038,-118.205434,Restaurants & shops,Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,"10 hrs max time limit, no overnight parking 12am-5am nightly",45,Operational
-118.2063211,34.1205959,306,669,Lincoln & Ave 50 Parking Lot,Eagle Rock,5033 Lincoln Ave,Los Angeles,CA,90042-2343,34.120591,-118.206309,Restaurants & shops,Metered,7am-9pm Daily,$1.00 ,$4.00/10 hrs,N/A,"10 hrs max time limit, no overnight parking 12am-5am nightly",41,Operational
-118.3346252,34.10187089,307,670,Cherokee & Hollywood Parking Garage,Hollywood,1710 Cherokee Ave,Hollywood,CA,90028-4818,34.101866,-118.334613,"Entertainment, restaurants & shops",Operated,24 hours Daily,$8.00 ,$16.00 ,$144.00 ,"$12.00 flat after 5pm; max height clearance 8 feet 2 inches on level 1, 6 feet 8 inches on level 2 & up",386,Operational
-118.1924781,34.1091159,308,672,Ave 57 & Figueroa Parking Lot,Highland Park,124 S Avenue 57,Highland Park,CA,90042-4702,34.109111,-118.192466,"Metro Gold Line Station, restaurants & shops",Metered & Free,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit; free parking with 2 hrs max time limit,32,Operational
-118.1919521,34.1096209,309,673,Ave 58 & Figueroa East Parking Lot,Highland Park,117 S Avenue 58,Highland Park,CA,90042-4703,34.109616,-118.19194,"Metro Gold Line Station, restaurants & shops",Metered & Free,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit; free parking with 2 hrs max time limit,32,Operational
-118.6027452,34.20155089,310,674,Jordan & Sherman Way Parking Lot,Canoga Park,7220 Jordan Ave,Canoga Park,CA,91303,34.201546,-118.602733,Restaurants & shops,Free,24 hours Daily,Free,Free,N/A,2 hrs max time limit,35,Operational
-118.2905691,34.10436789,311,675,Russell & Vermont Parking Lot,Los Feliz,4642 Russell Ave,Los Angeles,CA,90027-4240,34.104363,-118.290557,Restaurants & shops,Metered,7am-12 midnight Daily,$1.00 ,$4.00/10 hrs,N/A,10 hrs max time limit,32,Operational
-118.2605711,34.07747889,312,676,Glendale & Sunset Parking Lot,Echo Park,1146 Glendale Blvd,Echo Park,CA,90026,34.077474,-118.260559,Echo Park & Angelus Temple,Metered,7am-9pm Mon-Sat,$0.50 ,$2.50 ,N/A,14 hrs max time limit,9,Operational
-118.2784761,33.96130588,313,678,Broadway & Manchester Parking Lot,Vermont Vista,8509 S Broadway,Los Angeles,CA,90003-3334,33.961301,-118.278464,Post Office & shops,Free,24 hours Daily,Free,Free,N/A,2 hrs max time limit,61,Operational
-118.2587631,34.07755689,314,679,Sunset & Logan Parking Lot,Echo Park,1711 Sunset Blvd,Echo Park,CA,90026-3224,34.077552,-118.258751,Restaurants & shops,Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,14 hrs max time limit,14,Operational
-118.4464762,34.06197788,315,680,Broxton & Westwood Parking Garage,Westwood,1036 Broxton Ave,Westwood Village,CA,90024-2824,34.061973,-118.446464,"Westwood Village, entertainment, restaurants & shops",Operated,"7am-12:30am Sun-Thu, 7am-2:30am Fri-Sat",$4.50 ,$9.00 ,$125.00 ,"First 2 hours free 7am-6pm Daily, after 6pm $3.00 flat Daily; max height clearance 8 feet 2 inches on level 1, 6 feet 8 inches on level 2 & up",366,Operational
-118.5247372,34.04627887,316,681,Sunset & Swarthmore Parking Lot,Pacific Palisades,15216 W Sunset Blvd,Pacific Palisades,CA,90272-3611,34.046274,-118.524725,Restaurants & shops,Metered,7am-9pm Daily,$1.00 ,$2.00/2 hrs,N/A,2 hrs max time limit,25,Operational
-118.2085151,34.04760389,317,682,Breed & Cesar Chavez Parking Lot,Boyle Heights,318 N Breed St,Boyle Heights,CA,90033-1802,34.047599,-118.208503,Restaurants & shops,Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit,27,Operational
-118.2867811,33.73956785,318,683,5th & Pacific Parking Lot,San Pedro,445 W 5th St,San Pedro,CA,90731,33.739563,-118.286769,Warner Grand Theater & shops,Metered,8am-6pm Mon-Sat,$0.50 ,$2.50 ,$30.00 ,4 hrs max time limit; no overnight parking 2am-6am nightly,26,Operational
-118.2870491,33.73804185,319,684,7th & Pacific Parking Lot,San Pedro,460 W 7th St,San Pedro,CA,90731,33.738037,-118.287037,Restaurants & shops,Metered,8am-6pm Mon-Sat,$0.50 ,$2.50 ,$30.00 ,No overnight parking 2am-6am nightly,86,Operational
-118.4268212,34.04149688,320,685,Malcolm & Pico Parking Lot,Rancho Park,2386 Malcolm Ave,Los Angeles,CA,90064-2206,34.041492,-118.426809,"Westside Pavillion, restaurants & shops",Metered,7am-9pm Daily,$1.00 ,$4.00/10 hrs,N/A,10 hrs max time limit,19,Operational
