zip,facility_type,ev_slow,ev_dc_fast_count,spaces
90502,HOSPITAL,2.0,0.0,
90503,CAR_DEALER,4.0,1.0,
90503,HOTEL,3.0,0.0,
90503,RESTAURANT,2.0,0.0,
90503,SHOPPING_CENTER,2.0,0.0,
90503,SHOPPING_MALL,3.0,20.0,
90504,PARKING_LOT,2.0,0.0,
90505,SHOPPING_CENTER,2.0,0.0,
90601,STATE_GOV,10.0,0.0,
90620,SHOPPING_CENTER,0.0,8.0,
90621,AUTO_REPAIR,0.0,8.0,
90621,CAR_DEALER,4.0,1.0,
90640,HOTEL,10.0,0.0,
90640,SCHOOL,4.0,0.0,
90640,SHOPPING_MALL,2.0,0.0,
90650,MUNI_GOV,3.0,0.0,
90650,PARKING_LOT,4.0,0.0,
90670,STATE_GOV,10.0,0.0,
90680,STATE_GOV,5.0,0.0,
90701,SCHOOL,2.0,0.0,
90701,SHOPPING_MALL,2.0,0.0,
90703,CAR_DEALER,1.0,0.0,
90703,SHOPPING_MALL,0.0,12.0,
90710,COLLEGE_CAMPUS,1.0,0.0,
90712,MUNI_GOV,2.0,0.0,
90712,SHOPPING_MALL,2.0,0.0,
90713,GROCERY,2.0,0.0,
90716,OTHER_ENTERTAINMENT,3.0,0.0,
90720,GROCERY,2.0,0.0,
90731,PARKING_LOT,4.0,0.0,102.0
90731,PARKING_LOT,4.0,0.0,127.0
90731,PARKING_LOT,4.0,0.0,40.0
90731,PARKING_LOT,4.0,0.0,76.0
90731,UTILITY,4.0,0.0,102.0
90731,UTILITY,4.0,0.0,127.0
90731,UTILITY,4.0,0.0,40.0
90731,UTILITY,4.0,0.0,76.0
90732,COLLEGE_CAMPUS,2.0,0.0,
90740,HOTEL,4.0,0.0,
90744,UTILITY,2.0,0.0,40.0
90744,UTILITY,2.0,0.0,14.0
90745,CAR_DEALER,2.0,0.0,
90745,FLEET_GARAGE,1.0,0.0,
90746,REC_SPORTS_FACILITY,12.0,0.0,
90802,HOTEL,8.0,0.0,
90802,OFFICE_BLDG,4.0,0.0,
90803,GROCERY,2.0,0.0,
90803,SHOPPING_MALL,5.0,0.0,
90806,HOSPITAL,4.0,0.0,
90806,PARKING_GARAGE,4.0,0.0,
90807,SHOPPING_CENTER,2.0,0.0,
90808,SHOPPING_MALL,4.0,0.0,
90815,HOTEL,3.0,0.0,
90840,COLLEGE_CAMPUS,3.0,0.0,
91006,PARKING_GARAGE,3.0,0.0,
91007,LIBRARY,4.0,0.0,
91007,MUNI_GOV,7.0,0.0,
91007,PARK,3.0,0.0,
91010,CAR_DEALER,1.0,0.0,
91010,PARKING_LOT,3.0,0.0,
91016,CAR_DEALER,3.0,0.0,
91016,MUNI_GOV,1.0,0.0,
91016,OFFICE_BLDG,4.0,0.0,
91016,PARKING_GARAGE,3.0,0.0,
91101,CONVENTION_CENTER,16.0,0.0,
91101,HOTEL,4.0,0.0,
91101,PARKING_GARAGE,22.0,0.0,
91101,PARKING_LOT,4.0,0.0,
91101,SHOPPING_MALL,2.0,0.0,
91103,PARKING_GARAGE,28.0,0.0,
91105,PARKING_GARAGE,9.0,0.0,
91105,SHOPPING_MALL,4.0,0.0,
91106,HOTEL,2.0,0.0,
91107,HARDWARE_STORE,1.0,0.0,
91107,HOSPITAL,4.0,0.0,
91107,PARKING_LOT,4.0,0.0,
91107,REC_SPORTS_FACILITY,4.0,0.0,
91107,SHOPPING_CENTER,2.0,0.0,
