Fuel Type Code,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude,EV Connector Types,Facility Type,EV Pricing
ELEC,Office Building,40 Newbridge Rd,Hicksville,NY,11801,,3,,40.76828,-73.528019,J1772,OFFICE_BLDG,
ELEC,Homer Recreation Department,53 S Main St,Homer,NY,13077,,2,,42.63465,-76.178589,J1772,REC_SPORTS_FACILITY,
ELEC,Spectrum,133-19 Atlantic Ave,Jamaica,NY,11418,,2,,40.696909,-73.816114,J1772,OFFICE_BLDG,
ELEC,Central Parking Corp,15 W 5th St,Jamestown,NY,14701,,2,,42.097522,-79.242525,J1772,PAY_GARAGE,
ELEC,Delancey & Essex Municipal Parking Garage,107 Essex St,Manhattan,NY,10002,,5,,40.719051,-73.988181,J1772,MUNI_GOV,
ELEC,Marcellus Village Police Department,6 Slocombe Ave,Marcellus,NY,13108,,1,,42.98282,-76.34141,J1772,MUNI_GOV,
ELEC,Hilton,598 Broadhollow Rd,Melville,NY,11747,,1,,40.76379,-73.423658,J1772,HOTEL,
ELEC,New York State Department of Transportation,367 NY-59,Nanuet,NY,10954,,2,,41.102018,-74.02801,J1772,HOTEL,
ELEC,Sky Zone Trampoline Park,33 LeCount Pl,New Rochelle,NY,10801,,4,,40.911315,-73.779296,J1772,OTHER_ENTERTAINMENT,
ELEC,Spectrum,401 W 219th St,New York,NY,10034,,8,,40.87121,-73.911616,J1772,OFFICE_BLDG,
ELEC,Residence Inn - Marriott Poughkeepsie,2525 South St,Poughkeepsie,NY,12601,,2,,41.660699,-73.932808,J1772,HOTEL,
ELEC,Taste NY Market,4640 Taconic State Pkwy N,Lagrangeville,NY,12540,,2,,41.656857,-73.789422,J1772,GROCERY,
ELEC,Courtyard Marriott,631 Midland Ave,Rye,NY,10580,,2,,40.989535,-73.672445,J1772,HOTEL,
ELEC,Homewood Suites,3368 S Broadway,Saratoga Springs,NY,12866,,2,,43.05419501,-73.78681017,J1772,HOTEL,
ELEC,Stony Brook University,100 Nicolls Rd,Stony Brook,NY,11794,,2,,40.913685,-73.116048,J1772,COLLEGE_CAMPUS,
ELEC,Residence Inn,6420 Yorktown Cir,Syracuse,NY,13057,,2,,43.09077,-76.088086,J1772,HOTEL,
ELEC,Westchester County Department of Health,134 Main St,White Plains,NY,10601,,3,,41.031941,-73.769376,J1772,MUNI_GOV,
ELEC,Windsor Town Court Room,124 Main St,Windsor,NY,13865,,2,,42.077966,-75.639472,J1772,MUNI_GOV,
ELEC,Art Delta New York,25-20 Brooklyn Queens Expy,Woodside,NY,11377,,2,,40.763053,-73.902931,J1772,OFFICE_BLDG,
ELEC,City of Yonkers,40 S Broadway,Yonkers,NY,10701,,3,,40.932276,-73.897606,J1772,MUNI_GOV,
ELEC,Yonkers Parking Authority,8 Buena Vista Ave,Yonkers,NY,10701,,4,,40.93427,-73.902149,J1772,MUNI_GOV,
ELEC,Central Parking - Tower 31,9 W 31st Street,New York,NY,10001,,1,,40.747098,-73.986641,J1772,,Level 2: $0.59 per kWh
ELEC,IKEA - Brooklyn,One Beard St,Brooklyn,NY,11231,,4,,40.672247,-74.011183,J1772,,Level 2: $0.29 per kWh
ELEC,iPark - Paradise Garage,62-60 99th Street,Rego Park,NY,11374,,2,,40.733347,-73.858012,J1772,,Level 2: $0.59 per kWh
ELEC,iPark - 59 Allen Street Garage,59 Allen Street,New York,NY,10002,,2,,40.717195,-73.991658,J1772,,Level 2: $0.59 per kWh
ELEC,The Westminster,180 W 20th Street,New York,NY,10011,,1,,40.741945,-73.996664,J1772,,Level 2: $0.59 per kWh
ELEC,Castle Village Parking Garage,200 Cabrini Boulevard,New York,NY,10033,,1,,40.854693,-73.939432,J1772,,Level 2: $0.41 per kWh
ELEC,"First Avenue Parking, LLC",630 1st Avenue,New York,NY,10016,,2,,40.745096,-73.971921,J1772,,Level 2: $0.59 per kWh
ELEC,CORNELL FOREST HOME 3,37 Forest Home Dr,Ithaca,NY,14850,,2,,42.45046,-76.47865,J1772,,
ELEC,Tony Mangino Mitsubishi,1658 Route 9,Clifton Park,NY,12065,,2,,42.858085,-73.762909,J1772,CAR_DEALER,Free
ELEC,James Mitsubishi - Hamburg,5160 Camp Rd,Hamburg,NY,14075,,2,,42.746772,-78.852481,J1772,CAR_DEALER,Free
ELEC,Village of Waterville - West Main Street,115 W Main St,Waterville,NY,13480,,2,,42.930765,-75.38053,J1772,STREET_PARKING,Free
ELEC,Nissan of Staten Island,1976 Hylan Blvd,Staten Island,NY,10306,,1,,40.581432,-74.097694,J1772,CAR_DEALER,Free
ELEC,Town of Veteran,4049 Watkins Rd,Millport,NY,14864,,2,,42.250834,-76.838332,J1772,MUNI_GOV,Free
ELEC,Colonie Center - Tesla Supercharger,131 Colonie Center,Albany,NY,12205,,,6,42.7104,-73.8191,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,The Spot Restaurant - Tesla Supercharger,1062 Front Street,Binghamton,NY,13905,,,8,42.1455,-75.9021,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,North 12 Parking (at the William Vale) - Tesla Supercharger,113 N. 12th Street,Brooklyn,NY,11249,,,4,40.7219,-73.9567,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,Shops at Main / Transit - Tesla Supercharger,4455  Transit Road,Buffalo,NY,14221,,,8,42.9687,-78.6957,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,Stewart’s Shop - Tesla Supercharger,2300 Salt Point Turnpike,Clinton Corners,NY,12514,,,8,41.8254,-73.7704,TESLA,CONVENIENCE_STORE,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,Crossgates Mall - Tesla Supercharger,1 Crossgates Mall Road,Guilderland,NY,12203,,,20,42.6887,-73.8533,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,QuickChek - Tesla Supercharger,640 Washington Ave.,Kingston,NY,12401,,,8,41.9419,-74.0274,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,Holiday Inn - Tesla Supercharger,441 Electronics Parkway,Liverpool,NY,13088,,,8,43.1024,-76.1874,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,New Roc Garage - Tesla Supercharger,33 LeCount Place and Huguenot Street,New Rochelle,NY,10801,,,8,40.9125,-73.7805,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,Mott Street Parking - Tesla Supercharger,106 Mott Street,New York,NY,10013,,,2,40.7175,-73.9973,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,W 75th Parking Garage - Tesla Supercharger,201 W 75th Street,New York,NY,10023,,,4,40.781,-73.9804,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,E 47th Street - Tesla Supercharger,212 East 47th Street,New York,NY,10017,,,4,40.7534,-73.9717,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,125 Victory Hwy - Tesla Supercharger,125 Victory Hwy Painted Post,Painted Post,NY,14870,,,10,42.1708,-77.1081,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,Country Pointe Plainview - Tesla Supercharger,1427 Old Country Road,Plainview,NY,11803,,,8,40.7799,-73.4507,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
ELEC,Champlain Centre - Tesla Supercharger,60 Smithfield Blvd.,Plattsburgh,NY,12901,,,8,44.7045,-73.4918,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
