Fuel Type Code,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude,EV Connector Types,Facility Type,EV Pricing
ELEC,Sunset North,3100 139th Avenue Southeast,Bellevue,WA,98005,,6,,47.582405,-122.153989,J1772,,$1.00-$5.00/Hr Variable Parking Fee
ELEC,1600 Seventh,1600 7th Ave,Seattle,WA,98191,,3,,47.6132353,-122.3344034,J1772,,$1.80/Hr Parking Fee
ELEC,Lexington,1050 James Street,Seattle,WA,98104,,2,,47.6065736,-122.3230702,J1772,,FREE
ELEC,Starbucks Center Main Parking Lot,2401 Utah Avenue South,Seattle,WA,98134,,2,,47.581142,-122.3357333,J1772,,$2.00-$2.25/Hr Variable Parking Fee
ELEC,TWIN TRANSIT MELLEN ST. 1,12 Airport Rd,Centralia,WA,98531,,,1,46.711331,-122.976491,CHADEMO J1772COMBO,,
ELEC,TWIN TRANSIT MELLEN ST. 2,12 Airport Rd,Centralia,WA,98531,,2,,46.711291,-122.976524,J1772,,
ELEC,NORTH COVE PARK STATION 1,1812 Main St,Lake Stevens,WA,98258,,2,,48.014624,-122.065442,J1772,,
ELEC,Safeway - 2725 NE Sunset Blvd,2725 NE Sunset Blvd,Renton,WA,98056,,2,,47.499342,-122.180636,J1772,GROCERY,FREE
ELEC,Norland Trails,Northwest Advance Drive,Poulsbo,WA,98370,,2,,47.7651883,-122.6573597,J1772,,$1.75/Hr Parking Fee
ELEC,Camas Bike and Sport/ IQ ATM,403 Northeast 5th Avenue,Camas,WA,98607,,2,,45.5867216,-122.4047329,J1772,,$1.50/Hr Parking Fee
ELEC,PIERCE TRANSIT BUS 3,3701 96th St SW,Lakewood,WA,98499,,,1,47.170329,-122.486085,CHADEMO J1772COMBO,,
ELEC,"Walmart 2037 (Aberdeen, WA)",909 E Wishkah St,Aberdeen,WA,98520,,,4,46.976416,-123.807081,CHADEMO J1772COMBO,,
ELEC,REI,222 Yale Ave N,Seattle,WA,98109,,1,2,47.62066,-122.32952,CHADEMO J1772 J1772COMBO,,
ELEC,Harvard Market,1406 Harvard Ave,Seattle,WA,98122,,,1,47.613457,-122.321919,CHADEMO J1772COMBO,,
ELEC,The Landing,828 N 10th Pl,Renton,WA,98057,,,2,47.49845,-122.20461,CHADEMO J1772COMBO,,
ELEC,Whole Foods Bellingham,1030 Lakeway Dr,Bellingham,WA,98229,,,2,48.74393,-122.461854,CHADEMO J1772COMBO,,
ELEC,Chehalis Commerce District,1701 NW Louisiana Ave,Chehalis,WA,98532,,2,1,46.6798738,-122.9771577,CHADEMO J1772 J1772COMBO,,
ELEC,Dupont Center - Ace Hardware,1585 McNeil St,DuPont,WA,98327,,2,2,47.092582,-122.644253,CHADEMO J1772 J1772COMBO,,
ELEC,Whole Foods Lynnwood,2808 196th St SW,Lynnwood,WA,98036,,,2,47.820256,-122.271361,CHADEMO J1772COMBO,,
ELEC,Walmart,1486 Dike Access Rd,Woodland,WA,98674,,,1,45.92845,-122.76205,CHADEMO J1772COMBO,,
ELEC,New Seasons,2755 77th Ave SE,Mercer Island,WA,98040,,,2,47.58489,-122.23611,CHADEMO J1772COMBO,,
ELEC,Whole Foods Madison Broadway,1001 Broadway,Seattle,WA,98122,,,4,47.611261,-122.320999,CHADEMO J1772COMBO,,
ELEC,Ballard Blocks,1451 NW 46th St,Seattle,WA,98107,,,2,47.6617217,-122.3758674,CHADEMO J1772COMBO,,
ELEC,Whole Foods Seattle (Westlake),2210 Westlake Ave,Seattle,WA,98121,,,12,47.6183604,-122.3383451,CHADEMO J1772COMBO,,
ELEC,North Bend Premium Outlets,461 S Fork Ave SW,North Bend,WA,98045,,2,2,47.49132,-121.79308,CHADEMO J1772 J1772COMBO,,
ELEC,Tacoma Mall,4502 S Steele St,Tacoma,WA,98409,,2,3,47.21543,-122.47068,CHADEMO J1772 J1772COMBO,,
ELEC,Seattle Premium Outlets,10600 Quil Ceda Blvd,Quil Ceda Village,WA,98271,,3,1,48.09264,-122.1897,CHADEMO J1772 J1772COMBO,,
ELEC,AAA,3000 196th St SW,Lynnwood,WA,98036,,,1,47.820568,-122.273567,CHADEMO J1772COMBO,,
ELEC,Conoco,1293 S Division St,Ritzville,WA,99169,,,1,47.118605,-118.365561,CHADEMO J1772COMBO,,
ELEC,Northgate Mall,401 NE Northgate Way,Seattle,WA,98125,,3,1,47.7033,-122.32519,CHADEMO J1772 J1772COMBO,,
ELEC,Redmond Town Center,7525 166th Ave NE,Redmond,WA,98052,,1,2,47.67137,-122.11949,CHADEMO J1772 J1772COMBO,,
ELEC,SeaTac Cell Phone Parking Lot,2623 S 170th St,Seattle,WA,98188,,,2,47.450258,-122.299448,CHADEMO J1772COMBO,,
ELEC,Whole Foods Bellevue (BLV),888 116th Ave NE,Bellevue,WA,98004,,,6,47.618675,-122.18436,CHADEMO J1772COMBO,,
ELEC,LeMay-America's Car Museum,2702 E D St,Tacoma,WA,98421,,2,2,47.234898,-122.429536,CHADEMO J1772 J1772COMBO,,
ELEC,PIERCE TRANSIT BUS 1,3701 96th St SW,Lakewood,WA,98499,,,1,47.170377,-122.485878,CHADEMO J1772COMBO,,
ELEC,PIERCE TRANSIT BUS 2,3701 96th St SW,Lakewood,WA,98499,,,1,47.170255,-122.485063,CHADEMO J1772COMBO,,
ELEC,Timber Ridge At Talus,100 Timber Ridge Way NW,Issaquah,WA,98027,,1,,47.53129,-122.06573,J1772,,Level 2: $0.49 per kWh
ELEC,Town of Garfield,405 W California,Garfield,WA,99130,,2,,47.009182,-117.144518,J1772,,
ELEC,Skagit County Administration,1800 Continental Pl,Mount Vernon,WA,98273,,1,,48.436476,-122.325376,J1772,,
ELEC,"Albertsons Safeway 1589 (Leavenworth, WA)",116 River Bend DR,Leavenworth,WA,98826,,,4,47.597361,-120.64588,CHADEMO J1772COMBO,,
ELEC,Blue Parking Lot,10th Ave SE,Puyallup,WA,98372,,3,,47.182515,-122.291956,J1772,,Level 2: $0.49 per kWh
ELEC,Pillar Properties - The Verge,109 S Division St,Auburn,WA,98001,,4,,47.3064421,-122.229972,J1772,,Level 2: $0.49 per kWh
ELEC,FRED MEYER - #688 Alderwood,2902 164th Street SW,Lynnwood,WA,98087,,2,,47.84839,-122.27274,J1772,,Level 2: $0.49 per kWh
